Welcome to CSOPESY Emulator!

root:\> screen -ls
CPU utilization:  81%
Cores used: 13
Cores available: 3

--------------------------------------------------------

Running processes   
Name           Created                   Core            Used / Total   
p317           11/04/2025 02:07:40PM     -             0 / 500000  
p318           11/04/2025 02:07:40PM     -             0 / 500000  
p319           11/04/2025 02:07:41PM     -             0 / 500000  
p320           11/04/2025 02:07:41PM     -             0 / 500000  
p321           11/04/2025 02:07:41PM     -             0 / 500000  
p322           11/04/2025 02:07:41PM     -             0 / 500000  
p323           11/04/2025 02:07:41PM     -             0 / 500000  
p324           11/04/2025 02:07:41PM     -             0 / 500000  
p325           11/04/2025 02:07:41PM     -             0 / 500000  
p326           11/04/2025 02:07:41PM     -             0 / 500000  
p327           11/04/2025 02:07:41PM     -             0 / 500000  
p328           11/04/2025 02:07:41PM     -             0 / 500000  
p329           11/04/2025 02:07:41PM     -             0 / 500000  
p330           11/04/2025 02:07:41PM     -             0 / 500000  
p331           11/04/2025 02:07:41PM     -             0 / 500000  
p332           11/04/2025 02:07:41PM     -             0 / 500000  
p333           11/04/2025 02:07:41PM     -             0 / 500000  
p334           11/04/2025 02:07:41PM     -             0 / 500000  
p335           11/04/2025 02:07:42PM     -             0 / 500000  
p336           11/04/2025 02:07:42PM     -             0 / 500000  
p337           11/04/2025 02:07:42PM     -             0 / 500000  
p338           11/04/2025 02:07:42PM     -             0 / 500000  
p339           11/04/2025 02:07:42PM     -             0 / 500000  
p340           11/04/2025 02:07:42PM     -             0 / 500000  
p341           11/04/2025 02:07:42PM     -             0 / 500000  
p342           11/04/2025 02:07:42PM     -             0 / 500000  
p343           11/04/2025 02:07:42PM     -             0 / 500000  
p344           11/04/2025 02:07:42PM     -             0 / 500000  
p345           11/04/2025 02:07:42PM     -             0 / 500000  
p346           11/04/2025 02:07:42PM     -             0 / 500000  
p347           11/04/2025 02:07:42PM     -             0 / 500000  
p348           11/04/2025 02:07:42PM     -             0 / 500000  
p349           11/04/2025 02:07:42PM     -             0 / 500000  
p350           11/04/2025 02:07:42PM     -             0 / 500000  
p351           11/04/2025 02:07:43PM     -             0 / 500000  
p352           11/04/2025 02:07:43PM     -             0 / 500000  
p353           11/04/2025 02:07:43PM     -             0 / 500000  
p354           11/04/2025 02:07:43PM     -             0 / 500000  
p355           11/04/2025 02:07:43PM     -             0 / 500000  
p356           11/04/2025 02:07:43PM     -             0 / 500000  
p357           11/04/2025 02:07:43PM     -             0 / 500000  
p358           11/04/2025 02:07:43PM     -             0 / 500000  
p359           11/04/2025 02:07:43PM     -             0 / 500000  
p360           11/04/2025 02:07:43PM     -             0 / 500000  
p361           11/04/2025 02:07:43PM     -             0 / 500000  
p362           11/04/2025 02:07:43PM     -             0 / 500000  
p363           11/04/2025 02:07:43PM     -             0 / 500000  
p364           11/04/2025 02:07:44PM     -             0 / 500000  
p365           11/04/2025 02:07:44PM     -             0 / 500000  
p366           11/04/2025 02:07:44PM     -             0 / 500000  
p367           11/04/2025 02:07:44PM     -             0 / 500000  
p368           11/04/2025 02:07:44PM     -             0 / 500000  
p369           11/04/2025 02:07:44PM     -             0 / 500000  
p370           11/04/2025 02:07:44PM     -             0 / 500000  
p371           11/04/2025 02:07:44PM     -             0 / 500000  
p372           11/04/2025 02:07:44PM     -             0 / 500000  
p373           11/04/2025 02:07:44PM     -             0 / 500000  
p374           11/04/2025 02:07:44PM     -             0 / 500000  
p375           11/04/2025 02:07:44PM     -             0 / 500000  
p376           11/04/2025 02:07:44PM     -             0 / 500000  
p377           11/04/2025 02:07:44PM     -             0 / 500000  
p378           11/04/2025 02:07:44PM     -             0 / 500000  
p379           11/04/2025 02:07:44PM     -             0 / 500000  
p380           11/04/2025 02:07:45PM     -             0 / 500000  
p381           11/04/2025 02:07:45PM     -             0 / 500000  
p382           11/04/2025 02:07:45PM     -             0 / 500000  
p383           11/04/2025 02:07:45PM     -             0 / 500000  
p384           11/04/2025 02:07:45PM     -             0 / 500000  
p385           11/04/2025 02:07:45PM     -             0 / 500000  
p386           11/04/2025 02:07:45PM     -             0 / 500000  
p387           11/04/2025 02:07:45PM     -             0 / 500000  
p388           11/04/2025 02:07:45PM     -             0 / 500000  
p389           11/04/2025 02:07:45PM     -             0 / 500000  
p390           11/04/2025 02:07:45PM     -             0 / 500000  
p391           11/04/2025 02:07:45PM     -             0 / 500000  
p392           11/04/2025 02:07:45PM     -             0 / 500000  
p393           11/04/2025 02:07:45PM     -             0 / 500000  
p394           11/04/2025 02:07:45PM     -             0 / 500000  
p395           11/04/2025 02:07:45PM     -             0 / 500000  
p396           11/04/2025 02:07:46PM     -             0 / 500000  
p397           11/04/2025 02:07:46PM     -             0 / 500000  
p398           11/04/2025 02:07:46PM     -             0 / 500000  
p399           11/04/2025 02:07:46PM     -             0 / 500000  
p400           11/04/2025 02:07:46PM     -             0 / 500000  
p401           11/04/2025 02:07:46PM     -             0 / 500000  
p402           11/04/2025 02:07:46PM     -             0 / 500000  
p403           11/04/2025 02:07:46PM     -             0 / 500000  
p404           11/04/2025 02:07:46PM     -             0 / 500000  
p405           11/04/2025 02:07:46PM     -             0 / 500000  
p406           11/04/2025 02:07:46PM     -             0 / 500000  
p407           11/04/2025 02:07:46PM     -             0 / 500000  
p408           11/04/2025 02:07:46PM     -             0 / 500000  
p409           11/04/2025 02:07:46PM     -             0 / 500000  
p410           11/04/2025 02:07:46PM     -             0 / 500000  
p411           11/04/2025 02:07:46PM     -             0 / 500000  
p412           11/04/2025 02:07:47PM     -             0 / 500000  
p413           11/04/2025 02:07:47PM     -             0 / 500000  
p414           11/04/2025 02:07:47PM     -             0 / 500000  
p415           11/04/2025 02:07:47PM     -             0 / 500000  
p416           11/04/2025 02:07:47PM     -             0 / 500000  
p417           11/04/2025 02:07:47PM     -             0 / 500000  
p418           11/04/2025 02:07:47PM     -             0 / 500000  
p419           11/04/2025 02:07:47PM     -             0 / 500000  
p420           11/04/2025 02:07:47PM     -             0 / 500000  
p421           11/04/2025 02:07:47PM     -             0 / 500000  
p422           11/04/2025 02:07:47PM     -             0 / 500000  
p423           11/04/2025 02:07:47PM     -             0 / 500000  
p424           11/04/2025 02:07:47PM     -             0 / 500000  
p425           11/04/2025 02:07:47PM     -             0 / 500000  
p426           11/04/2025 02:07:47PM     -             0 / 500000  
p427           11/04/2025 02:07:47PM     -             0 / 500000  
p428           11/04/2025 02:07:48PM     -             0 / 500000  
p429           11/04/2025 02:07:48PM     -             0 / 500000  
p430           11/04/2025 02:07:48PM     -             0 / 500000  
p431           11/04/2025 02:07:48PM     -             0 / 500000  
p432           11/04/2025 02:07:48PM     -             0 / 500000  
p433           11/04/2025 02:07:48PM     -             0 / 500000  
p434           11/04/2025 02:07:48PM     -             0 / 500000  
p435           11/04/2025 02:07:48PM     -             0 / 500000  
p436           11/04/2025 02:07:48PM     -             0 / 500000  
p437           11/04/2025 02:07:48PM     -             0 / 500000  
p438           11/04/2025 02:07:48PM     -             0 / 500000  
p439           11/04/2025 02:07:48PM     -             0 / 500000  
p440           11/04/2025 02:07:48PM     -             0 / 500000  
p441           11/04/2025 02:07:48PM     -             0 / 500000  
p442           11/04/2025 02:07:48PM     -             0 / 500000  
p443           11/04/2025 02:07:48PM     -             0 / 500000  
p444           11/04/2025 02:07:49PM     -             0 / 500000  
p445           11/04/2025 02:07:49PM     -             0 / 500000  
p446           11/04/2025 02:07:49PM     -             0 / 500000  
p447           11/04/2025 02:07:49PM     -             0 / 500000  
p448           11/04/2025 02:07:49PM     -             0 / 500000  
p449           11/04/2025 02:07:49PM     -             0 / 500000  
p450           11/04/2025 02:07:49PM     -             0 / 500000  
p451           11/04/2025 02:07:49PM     -             0 / 500000  
p452           11/04/2025 02:07:49PM     -             0 / 500000  
p453           11/04/2025 02:07:49PM     -             0 / 500000  
p454           11/04/2025 02:07:49PM     -             0 / 500000  
p455           11/04/2025 02:07:49PM     -             0 / 500000  
p456           11/04/2025 02:07:49PM     -             0 / 500000  
p457           11/04/2025 02:07:49PM     -             0 / 500000  
p458           11/04/2025 02:07:49PM     -             0 / 500000  
p459           11/04/2025 02:07:49PM     -             0 / 500000  
p460           11/04/2025 02:07:50PM     -             0 / 500000  
p461           11/04/2025 02:07:50PM     -             0 / 500000  
p462           11/04/2025 02:07:50PM     -             0 / 500000  
p463           11/04/2025 02:07:50PM     -             0 / 500000  
p464           11/04/2025 02:07:50PM     -             0 / 500000  
p465           11/04/2025 02:07:50PM     -             0 / 500000  
p466           11/04/2025 02:07:50PM     -             0 / 500000  
p467           11/04/2025 02:07:50PM     -             0 / 500000  
p468           11/04/2025 02:07:50PM     -             0 / 500000  
p469           11/04/2025 02:07:50PM     -             0 / 500000  
p470           11/04/2025 02:07:50PM     -             0 / 500000  
p471           11/04/2025 02:07:50PM     -             0 / 500000  
p472           11/04/2025 02:07:50PM     -             0 / 500000  
p473           11/04/2025 02:07:51PM     -             0 / 500000  
p474           11/04/2025 02:07:51PM     -             0 / 500000  
p475           11/04/2025 02:07:51PM     -             0 / 500000  
p476           11/04/2025 02:07:51PM     -             0 / 500000  
p477           11/04/2025 02:07:51PM     -             0 / 500000  
p478           11/04/2025 02:07:51PM     -             0 / 500000  
p479           11/04/2025 02:07:51PM     -             0 / 500000  
p480           11/04/2025 02:07:51PM     -             0 / 500000  
p481           11/04/2025 02:07:51PM     -             0 / 500000  
p482           11/04/2025 02:07:51PM     -             0 / 500000  
p483           11/04/2025 02:07:51PM     -             0 / 500000  
p484           11/04/2025 02:07:51PM     -             0 / 500000  
p485           11/04/2025 02:07:51PM     -             0 / 500000  
p486           11/04/2025 02:07:51PM     -             0 / 500000  
p487           11/04/2025 02:07:51PM     -             0 / 500000  
